SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
negative,1,1050,add,2,658,small,5_3_add_true.jpg,129,TRUE,1680,0.174682949,0.187439409,0,260
negative,1,1050,mult,2,659,small,5_3_mult_true.jpg,129,TRUE,1680,0.116921582,0.118966099,0,380
neutral,1,1050,mult,2,659,small,3_6_mult_true.jpg,143,TRUE,1680,0.216074341,0.155309536,0,280
negative,1,1050,mult,2,661,large,8_4_mult_true.jpg,129,TRUE,1680,0.048966363,0.057024854,0,160
negative,1,1050,mult,1,662,small,5_3_mult_true.jpg,104,TRUE,1680,-0.693495235,-0.76613569,0,160
neutral,1,1050,mult,1,662,small,8_2_mult_FNI.jpg,129,FALSE,1680,0.778674331,0.761080228,0,180
negative,1,1050,mult,2,664,large,8_4_mult_true.jpg,127,TRUE,1680,-0.105198048,-0.07689246,0,80
negative,1,1050,add,1,666,small,8_2_add_true.jpg,104,TRUE,1680,-0.048082745,-0.002634804,0,260
negative,1,1050,add,2,666,small,2_7_add_true.jpg,129,TRUE,1680,0.128366082,0.078673057,0,400
neutral,1,1050,add,2,667,small,2_7_add_true.jpg,129,TRUE,1680,0.107283193,0.115130391,0,420
neutral,1,1050,mult,2,667,large,6_8_mult_true.jpg,143,TRUE,1680,0.239763122,0.076128462,0,40
negative,1,1050,mult,1,669,large,4_9_mult_FNI.jpg,143,FALSE,1680,0.079136945,0.095232159,0,380
negative,1,1050,add,2,670,large,6_8_add_FNI.jpg,104,FALSE,1680,-0.40490237,-0.373704565,0,260
neutral,1,1050,mult,1,671,small,8_2_mult_true.jpg,108,TRUE,1680,0.35913247,0.46369447,0,60
neutral,1,1050,add,2,671,large,9_7_add_true.jpg,143,TRUE,1680,0.689062502,1.211282423,0,200
neutral,1,1050,mult,2,673,small,5_3_mult_true.jpg,143,TRUE,1680,0.071568467,0.023029925,0,320
negative,1,1050,mult,1,675,large,9_7_mult_FI.jpg,129,FALSE,1680,0.624723819,0.577369477,0,240
negative,1,1050,mult,1,677,large,6_8_mult_true.jpg,110,TRUE,1680,-0.078385492,0.018705698,0,60
neutral,1,1050,mult,1,678,small,8_2_mult_true.jpg,104,TRUE,1680,-0.165617446,-0.07560507,0,260
negative,1,1050,mult,1,678,small,8_2_mult_true.jpg,104,TRUE,1680,0.264460639,0.286343149,0,40
negative,1,1050,add,1,678,small,5_3_add_FNI.jpg,143,FALSE,1680,0.723933969,0.673889638,0,40
negative,1,1050,mult,1,680,large,8_4_mult_true.jpg,104,TRUE,1680,0.125056696,0.160356386,0,420
